⌚	zegarek	godzina|zegarek
🥇	medal za 1. miejsce	medal|medal za 1. miejsce|pierwsze miejsce|sport|zawody|złoto|złoty medal|zwycięstwo
🥈	medal za 2. miejsce	drugie miejsce|medal|medal za 2. miejsce|sport|srebrny medal|srebro|zawody
🥉	medal za 3. miejsce	brąz|brązowy medal|medal|medal za 3. miejsce|sport|trzecie miejsce|zawody
🥊	rękawica bokserska	boks|rękawica|rękawica bokserska|sport|zawody
🥋	strój do sztuk walki	judo|karate|martial arts|sport|strój do sztuk walki|sztuki walki|taekwondo|zawody
🥌	kamień do curlingu	curling|do curlingu|gra|kamień|sport
🥍	lacrosse	bramka|kij|lacrosse|piłka|sport
🥎	softball	piłka|softball|sport|tenis
🥏	frisbee	dysk|frisbee|frizbi|sport
🥐	rogalik	croissant|francuski|jedzenie|pieczywo|rogal|rogalik
🥑	awokado	awokado|jedzenie|owoc|roślina
🥒	ogórek	jedzenie|korniszon|ogórek|pikle|warzywo
🥓	boczek	bekon|boczek|jedzenie|mięso
🥔	ziemniak	jedzenie|kartofel|pyra|warzywo|ziemniak
🥕	marchew	jedzenie|marchew|marchewka|warzywo
🥖	bagietka	bagietka|bułka|chleb|jedzenie|pieczywo
🥗	sałatka	jedzenie|sałata|sałatka|surówka
🥘	danie z patelni	danie z patelni|jedzenie|paella|patelnia|rondel|wok
🥙	wrap	bułka|falafel|gyros|jedzenie|kebab|tortilla|wrap
🥚	jajko	jajko|jajo|jedzenie|kura|kurczak|nabiał
🥛	szklanka mleka	biały|jedzenie|mleka|mleko|napój|szklanka
🥜	orzeszki ziemne	fistaszki|jedzenie|orzech|orzeszki|orzeszki ziemne
🥝	owoc kiwi	jedzenie|kiwi|owoc
🥞	naleśniki	jedzenie|naleśniki|placki
🥟	pieróg	gyoza|jedzenie|pieróg|pierogi
🥠	ciastko z wróżbą	ciasteczko|ciastko|przepowiednia|szczęście|wróżba|z wróżbą
🥡	pudełko na wynos	jedzenie|na wynos|pałeczki|pudełko|ryż
🥢	pałeczki	pałeczki
🥣	miska z łyżką	jedzenie|miska|miska z łyżką|zupa
🥤	szklanka ze słomką	drink|napój|oranżada|picie|słomka|soda|szklanka ze słomką
🥥	kokos	kokos|orzech|tropiki
🥦	brokuł	brokuł|jedzenie|warzywo|zielone
🥧	ciasto	ciasto|jedzenie|placek|szarlotka
🥨	precel	ciastko|jedzenie|precel
🥩	kawałek mięsa	jedzenie|kawałek|mięsa|mięso|schabowy|stek|wieprzowina|wołowina
🥪	kanapka	jedzenie|kanapka|śniadanie
🥫	jedzenie w puszce	jedzenie|puszka|w puszce
🥬	warzywo liściaste	bok choy|burger|jarmuż|jedzenie|kapusta|kapusta chińska|kapusta pekińska|liść|pak choy|sałata|sałatka|warzywo|zielenina|zielony
🥭	mango	jedzenie|mango|owoc|shaker|tropikalna|tropikalne|tropikalny
🥮	ciasteczko księżycowe	biszkopt|ciasteczko księżycowe|ciasto|ciasto księżycowe|jedzenie|jesień|placek|święto|yuèbǐng
🥯	bajgiel	bajgiel|chleb|jedzenie|pączek|pieczywo|piekarnia|posmarować|śniadanie
🥰	uśmiechnięta buźka z sercami	buźka|kochać|kocham cię|miłość|romans|serca|serce|twarz|uśmiech|uśmiechnięta buźka z sercami|uśmiechnięta twarz|uśmiechnięta twarz z sercami|uwielbiać|uwielbienie|zadurzenie|zakochać się|zakochana|zakochane|zakochany
🥱	ziewająca twarz	buźka|dobranoc|drzemka|nuda|obojętność|sen|senność|spanie|ziew|ziewać|ziewająca twarz|zmęczenie|znudzony|znużenie|zzz
🥲	uśmiechnięta buźka ze łzą	buźka|dumny|łza|ulga|uśmiechnięta buźka ze łzą|uśmiechnięty|wdzięczność|wdzięczny|wzruszenie|wzruszony
🥳	świętująca twarz	buźka|czapeczka|ekscytacja|hura|impreza|piszczałka|przyjęcie|święto|świętować|świętowanie|świętująca buźka|świętująca twarz|trąbka|urodziny|życzenia
🥴	zamroczona twarz	alkohol|buźka|faliste usta|krzywe usta|na gazie|nierówne oczy|niewyraźna twarz|odurzony|pijana|pijane|pijani|pijany|pod wpływem|podchmielenie|podchmielony|rozbiegane oczy|twarz|wstawiony|zamroczona twarz|zawroty głowy
🥵	rozgrzana twarz	choroba|czerwona buźka|czerwona twarz|duszno|dyszeć|gorąco|gorączka|pocenie|pot|rozgrzana buźka|rozgrzana twarz|rozpalony|spocony|udar cieplny|udar słoneczny|upał
🥶	zmarznięta twarz	blada twarz|buźka|mróz|mroźno|niebieska|odmrożenia|odmrożenie|poniżej zera|sina|siny|sopel lodu|sople|szczękać zębami|trzęsę się|twarz|zimna twarz|zimno|zmarznięta|zmarznięty
🥷	ninja	najemnik|niewidoczny|ninja|osoba|skradać się|tajny agent|ukryty|wojna|wojownik|żołnierz
🥸	buźka w przebraniu	anonimowy|buźka|buźka w przebraniu|incognito|nos|okulary|przebranie|szpieg|twarz|wąsy
🥹	twarz powstrzymująca łzy	duma|łzy|łzy szczęścia|łzy wzruszenia|opór|płacz|podziw|proszę|smutek|smutna twarz|twarz powstrzymująca łzy|uczucia|wdzięczność|wzruszenie|zawstydzenie|zdenerwowanie
🥺	błagająca twarz	błagać|błagająca twarz|błaganie|buźka|duże oczy|ładnie prosić|litość|oczy|poprosić|prosić|proszę|słodkie oczy|smutek|smutna|smutne|smutny|twarz|żebrać|żebranie
🥻	sari	odzież|sari|sukienka|suknia|ubranie
🥼	biały fartuch	biały|biały fartuch|biały płaszcz|doktor|dr|eksperyment|kitel|laboratorium|lekarz|naukowiec|płaszcz laboratoryjny|ubrania|ubranie
🥽	okulary ochronne	gogle|narciarstwo|narty|nurkowanie|ochronne|okulary|pływanie|snorkeling|snorkling|snowboard|spawanie|zjazd
🥾	but turystyczny	biwak|brązowe|brązowy|but|buty|dzicz|kemping|obuwie|spacer|szlak|trapery|turystyczny|wędrówka|wyprawa
🥿	baleriny	baleriny|baletki|but wsuwany|buty|obuwie|pantofelek|płaskie obuwie|wygodne
🦀	krab	krab|morze|ocean|plaża|rak|zodiak|zwierzę
🦁	głowa lwa	buźka|dziki|głowa|grzywa|kot|lew|lwa|pysk|zodiak|zwierzę
🦂	brązowy skorpion	brązowy skorpion|pajęczak|skorpion|trucizna|zodiak|zwierzę
🦃	indyk	indyk|ptak|zwierzę
🦄	głowa jednorożca	głowa|jednorożca|jednorożec|kucyk|magia|różowy|zwierzę
🦅	orzeł	Bielik|orzeł|ptak|zwierzę
🦆	kaczka	kaczka|kaczor|ptak|woda|zwierzę
🦇	nietoperz	nietoperz|wampir|zwierzę
🦈	rekin	morze|ocean|rekin|ryba|zwierzę
🦉	sowa	mądrość|mądry|noc|oczy|ptak|sowa|sówka|zwierzę
🦊	głowa lisa	buźka|chytrość|chytry|głowa|lis|lisa|przebiegły|rudy|zwierzę
🦋	motyl	kolorowy|motyl|owad|zwierzę
🦌	jeleń	jeleń|rogacz|rogi|zwierzę
🦍	goryl	goryl|zwierzę
🦎	jaszczurka	gad|jaszczurka|zwierzę
🦏	nosorożec	nosorożec|róg|zwierzę
🦐	krewetka	jedzenie|krewetka|morze|ocean|owoce morza|zwierzę
🦑	kałamarnica	atrament|jedzenie|kałamarnica|mątwa|mięczak|morze|ocean|ośmiornica|owoce morza|sepia|tusz|zwierzę
🦒	żyrafa	głowa|sawanna|zwierzę|żyrafa
🦓	zebra	koń|paski|sawanna|zebra|zwierzę
🦔	jeż	jeż|jeżyk|kolce|zwierzę
🦕	zauropod	dinozaur|głowa|zauropod|zwierzę
🦖	t-rex	dinozaur|głowa|t-rex|tyranozaur|zwierzę
🦗	świerszcz	konik|owad|polny|świerszcz|zwierzę
🦘	kangur	kangur|skakać|skoczny|skok|torbacz|zwierzę
🦙	lama	alpaka|gwanako|lama|wełna|wikunia|zwierzę
🦚	paw	dumna|dumne|dumny|kolorowy|ładny ptak|ostentacyjna|ostentacyjne|ostentacyjny|paw|pawica|piękny ptak|ptak|śliczny ptak|zwierzę
🦛	hipopotam	hipcio|hipopotam|zwierzę
🦜	papuga	gadająca|mowa|mówić|papuga|pirat|ptak|zwierzę
🦝	szop	buźka|ciekawość|ciekawski|pracz|szop|zwierzę
🦞	homar	czerwony|homar|owoce morza|rak|szczypce|zwierzę
🦟	komar	choroba|gorączka|insekt|komar|malaria|owad|ugryzienie|wirus|zwierzę
🦠	zarazek	ameba|ameby|bakteria|bakterie|drobnoustrój|mikrob|mikroby|nauka|wirus|zarazek
🦡	borsuk	borsuk|ratel|ratel miodożerny|zwierzę
🦢	łabędź	biały|brzydkie kaczątko|łabędź|łabędziątko|ptak|zwierzę
🦣	mamut	epoka lodowcowa|kieł|mamut|ogromny|prehistoria|słoniowaty|włochaty|wymarły|zwierzę
🦤	dodo	dodo|duży|Mauritius|ptak|ptaszysko|wymarły|zwierzę
🦥	leniwiec	leniwiec|leniwy|powolny
🦦	wydra	bystre|łapanie ryb|wydra|zabawne|zwierzę
🦧	orangutan	człekokształtna|goryl|małpa|orangutan|zwierzę
🦨	skunks	skunks|smród|zwierzę
🦩	flaming	ekstrawagancja|flaming|tropikalny|zwierzę
🦪	ostryga	małże|nurkowanie|ostryga|perła|perły|zwierzę
🦫	bóbr	bóbr|gryzoń|tama|zęby|zwierzę
🦬	żubr	bizon|puszcza|stado|wół|żubr|zwierzę
🦭	foka	foczka|foka|lew|morski|ssak|zwierzę
🦮	pies przewodnik	dostępność|niewidomi|pies|przewodnik|zwierzę
🦯	biała laska	biała laska|dostępność|niewidomy
🦴	kość	kość|kości|pies|szkielet
🦵	noga	kolano|kończyna|kopnąć|kopniak|kopnięcie|noga|stopa|zgięta noga
🦶	stopa	kopnąć|kopniak|kostka|nadepnąć|stopa|stopy|tupanie|zdeptać
🦷	ząb	białe|dentysta|stomatolog|ząb|zęby
🦸	superbohater	bohater|bohaterka|dobro|moc|pozytywny|siła|superbohater|superbohaterka|superman|supermoc|supermoce
🦹	superłotr	antagonista|antybohater|czarny charakter|potwór|przestępca|superłotr|supermoc|supermoce|zło|złoczyńca|zły|zły bohater
🦺	kamizelka ratunkowa	bezpieczeństwo|kamizelka|kamizelka ratunkowa|ratowanie|sytuacja awaryjna
🦻	ucho z aparatem słuchowym	aparat słuchowy|dostępność|niedosłuch|niedosłyszący|ucho|z aparatem słuchowym
🦼	wózek inwalidzki elektryczny	dostępność|elektryczny wózek inwalidzki|wózek inwalidzki elektryczny
🦽	wózek inwalidzki ręczny	dostępność|wózek inwalidzki|wózek inwalidzki ręczny
🦾	mechaniczne ramię	dostępność|mechaniczne ramię|proteza
🦿	proteza nogi	dostępność|proteza|proteza nogi
🧀	kawałek sera	jedzenie|kawałek sera|ser|szwajcarski|z dziurami|żółty
🧁	babeczka	babeczka|ciastko|cukier|cukiernia|deser|jedzenie|piekarnia|podjadać|posypka|słodycze
🧂	sól	przyprawa|słona|słone|słony|smak|sól|solniczka
🧃	napój w kartoniku	kartonik|napój|słodki|słomka|sok|w kartoniku
🧄	czosnek	aromatyczny|czosnek|jedzenie|warzywo
🧅	cebula	aromatyczna|cebula|jedzenie|warzywo
🧆	falafel	ciecierzyca|falafel|jedzenie|kotlecik|kotlecik z ciecierzycy
🧇	gofr	gofr|gofrownica|jedzenie|śniadanie
🧈	masło	jedzenie|masło|nabiał
🧉	yerba mate	napój|yerba mate
🧊	kostka lodu	kostka|lód|lodu|zimno|zimny
🧋	napój bubble tea	bubble tea|herbata|herbata bąbelkowa|kuleczka|kulki tapioki|mleko|na słodko|tapioka|z tapioką
🧌	troll	bajka|fantazja|potwór|troll
🧍	stojąca osoba	stać|stoi|stojąca osoba
🧎	klęcząca osoba	klęcząca osoba|klęczeć|klęczki|kolana|na kolanach
🧏	osoba głucha	dostępność|głuchota|osoba głucha|słuch|ucho
🧐	twarz z monoklem	buźka|głowa|haha|hehe|mądry|staromodny|twarz|twarz z monoklem|wesoły|wyniosły
🧑	dorosły	człowiek|dorosły|głowa|osoba|płeć neutralna|twarz
🧑‍🌾	rolnik	farmer|ogrodnik|rolnik
🧑‍🍳	kucharz	kucharz|szef kuchni
🧑‍🍼	osoba karmiąca niemowlę	karmienie|karmienie butelką|karmienie piersią|mama|mężczyzna|niemowlę|osoba|osoba karmiąca niemowlę|rodzic|tata
🧑‍🎄	Mikołajka	Boże Narodzenie|Dziadek Mróz|Gwiazdor|Mikołaj|Mikołajka|mikołajki|osoba|prezenty|święta|Wigilia
🧑‍🎓	student	absolwent|student
🧑‍🎤	piosenkarz	aktor|artysta|gwiazda|muzyka|piosenkarz
🧑‍🎨	artysta	artysta|malarz|paleta
🧑‍🏫	nauczyciel	instruktor|nauczyciel|pedagog|profesor
🧑‍🏭	pracownik fabryki	fabryka|montażysta|pracownik|pracownik fabryki
🧑‍💻	technolog	deweloper|oprogramowanie|programista|technolog|wynalazca
🧑‍💼	pracownik biurowy	architekt|biznesmen|menedżer|praca biurowa|pracownik biurowy
🧑‍🔧	mechanik	elektryk|hydraulik|mechanik
🧑‍🔬	naukowiec	biolog|chemik|fizyk|inżynier|naukowiec
🧑‍🚀	astronauta	astronauta|rakieta|statek kosmiczny
🧑‍🚒	strażak	straż pożarna|strażak|wóz strażacki
🧑‍🤝‍🧑	osoby trzymające się za ręce	ludzie|osoby trzymające się za ręce|para|rękę|za ręce
🧑‍🦯	osoba z białą laską	dostępność|niewidoma|niewidomy|osoba z białą laską
🧑‍🦼	osoba na elektrycznym wózku inwalidzkim	dostępność|osoba na elektrycznym wózku inwalidzkim|wózek inwalidzki
🧑‍🦽	osoba na wózku inwalidzkim	dostępność|osoba na wózku inwalidzkim|wózek inwalidzki
🧑‍🧑‍🧒	rodzina: dorosły, dorosły, dziecko	dorosły|dziecko|rodzina: dorosły, dorosły, dziecko
🧑‍🧑‍🧒‍🧒	rodzina: dorosły, dorosły, dziecko, dziecko	dorosły|dziecko|rodzina: dorosły, dorosły, dziecko, dziecko
🧑‍🧒	rodzina: dorosły, dziecko	dorosły|dziecko|rodzina: dorosły, dziecko
🧑‍🧒‍🧒	rodzina: dorosły, dziecko, dziecko	dorosły|dziecko|rodzina: dorosły, dziecko, dziecko
🧑‍🩰	baletnica	balet|tancerka|tancerz
🧒	dziecko	dziecko|głowa|młoda|młody|osoba
🧓	starsza osoba	babcia|dziadek|osoba|siwa|siwy|stara|starsza|staruszek|staruszka|stary|starzec
🧔	osoba z brodą	broda|osoba|osoba z brodą
🧕	kobieta w chuście	chusta|głowa|hidżab|hijab|islam|kobieta|muzułmanka|osoba|uśmiech|w chuście|wesoła
🧖	osoba w zaparowanym pomieszczeniu	osoba|pomieszczenie|relaks|sauna|spa|w zaparowanym pomieszczeniu|zaparowane
🧗	osoba wspinająca się	osoba|skałki|sport|wspinacz|wspinaczka|wspinająca się
🧘	osoba w pozycji lotosu	joga|medytacja|osoba|relaks|siedząca|siedzący|siedzieć|spokój|w pozycji lotosu|zen
🧙	mag	czarnoksiężnik|czarnownica|czarodziej|fantasy|magia
🧚	wróżka	bajka|baśń|fantasy|Oberon|Puk|Tytania|wróżka
🧛	wampir	Drakula|nieumarły|wampir
🧜	syrena	bajka|baśń|magia|morze|syrena|syrenka|tryton|Warszawa
🧝	elf	bajka|baśń|elf|fantasy|magia
🧞	dżin	Aladyn|Alladyn|bajka|baśń|dżin|lampa|życzenie
🧟	zombie	chodzące trupy|halloween|horror|nieumarli|strach|straszny|zombie
🧠	mózg	inteligentny|mózg|myśleć
🧡	pomarańczowe serce	kocham|pomarańczowe|serce
🧢	bejsbolówka	bejsbolówka|czapeczka|czapka|czapka z daszkiem
🧣	szalik	szalik|szyja|ubranie|zima|zimno
🧤	rękawiczki	ręka|rękawiczka|rękawiczki
🧥	płaszcz	kurtka|płaszcz|zima|zimno
🧦	skarpetki	skarpetki|skarpety|stopy|ubranie
🧧	czerwona koperta	chiny|czerwona koperta|hong bao|hóngbāo|lai see|na szczęście|pieniądze|podarunek|prezent|szczęście|wdzięczność
🧨	petarda	dynamit|fajerwerki|iskra|materiał|materiały|ogień|petarda|petardy|trotyl|wybuch|wybuchowe|wybuchowy
🧩	element układanki	element|element układanki|łączenie|łamigłówka|puzzle|rebus|układanka
🧪	probówka	chemia|chemik|eksperyment|laboratorium|nauka|probówka
🧫	płytka Petriego	badania|bakteria|bakterie|biolog|biologia|kultura|laboratorium|płytka Petriego|szalka Petriego
🧬	dna	biolog|dna|ewolucja|gen|genetyka|geny|życie
🧭	kompas	kierunek|kompas|magnetyczny|magnetyzm|nawigacja|orientacja|orientacja w terenie|strony świata
🧮	liczydło	abakus|kalkulator|liczyć|liczydło|obliczać|obliczanie|obliczenia
🧯	gaśnica	gasić|gaśnica|ogień|pożar|ugasić|zgasić
🧰	skrzynka na narzędzia	czerwona|klucze|kombinerki|mechanik|na narzędzia|narzędzia|narzędzie|skrzynka|z narzędziami
🧱	cegła	beton|cegła|cegły|cement|glina|mur|murek|płot|ściana|zaprawa
🧲	magnes	kształt u|magnes|magnetyczny|magnetyzm|odpychanie|podkowa|przyciąganie
🧳	bagaż	bagaż|na kółkach|pakować się|pakowanie|podróż|wakacje|walizka
🧴	butelka z płynem	balsam|butelka|butelka z płynem|krem do opalania|mleczko|szampon
🧵	nić	dratwa|igła|nawlekać|nić|nitka|szpulka|szyć|szycie
🧶	włóczka	dziergać|dzierganie|kłębek|na drutach|przędza|robótki|szydełkować|szydełkowanie|wełna|włóczka
🧷	agrafka	agrafka|pielucha|punk|punk rock
🧸	miś pluszowy	miś|niedźwiadek|niedźwiedź|plusz|pluszak|pluszowa|pluszowy|przytulanka|wypchana|wypchany|zabawka
🧹	miotła	czarownica|miotła|sprzątać|sprzątanie|wiedźma|zamiatać|zamiatanie
🧺	kosz	grzybobranie|grzyby|kosz|koszyk|ogród|piknik|pranie|rolnictwo|wiklina
🧻	rolka papieru	papier toaletowy|ręczniki papierowe|rolka papieru|toaleta|ubikacja
🧼	mydło	kąpać się|kąpiel|kostka|kostka mydła|myć|myć się|mycie|mydelniczka|mydło|piana|pienić
🧽	gąbka	gąbka|myć|myć się|mycie|porowata|porowaty|sprzątać|sprzątanie|wchłanianie|wsiąka|wsiąkać
🧾	paragon	dowód|faktura|księgowość|kwitek|paragon|pokwitowanie|rachunek|rachunkowość
🧿	amulet nazar	amulet|błękitne|charms|fatimy|koralik|nazar|niebieski|oko|paciorek|proroka|talizman|złe oko
🩰	baletki	balet|baletki|taniec
🩱	strój kąpielowy jednoczęściowy	jednoczęściowy strój kąpielowy|kostium do kąpieli|kostium kąpielowy|strój kąpielowy|strój kąpielowy jednoczęściowy
🩲	kąpielówki	bielizna|kąpielówki|majtki do kąpieli|slipy|strój do kąpieli
🩳	szorty	bermudy|bielizna|spodenki|strój do kąpieli|szorty
🩴	japonka	buty|japonka|japonki|klapek|klapki|na basen|na lato|na plażę|obuwie|plaża|sandał|sandały|z jednym paskiem
🩵	jasnoniebieskie serce	143|błękitne|jasnoniebieskie|kocham cię|lubić|miłość|serce|sympatia|turkusowe|urocze|zielononiebieskie
🩶	szare serce	143|ciemnoszare|kocham cię|miłość|serce|specjalne|srebrne|szare
🩷	różowe serce	143|emocje|kocham cię|lubić|miłość|różowe|serce|słodkie|sympatia|urocze
🩸	kropla krwi	krew|kropla krwi|krwawienie|krwiodawstwo|medycyna|menstruacja|oddawanie krwi|rana
🩹	plaster	opatrunek|plaster
🩺	stetoskop	lekarz|medycyna|praca|serce|stetoskop
🩻	zdjęcie rentgenowskie	klatka piersiowa|kości|lekarz|medycyna|prześwietlenie|rentgen|szkielet|zdjęcie rentgenowskie
🩼	kula	ból|kij|kula|laska|niepełnosprawność|pomoc w chodzeniu
🪀	jojo	jojo|zabawka
🪁	latawiec	latanie|latawiec|na wietrze|wiatr
🪂	spadochron	lotnia|lotniarstwo|motorową|paralotnia|parasailing|skydiving|spadochron|spadochroniarstwo|sport|za łodzią
🪃	bumerang	broń|bumerang|pocisk|wracający
🪄	czarodziejska różdżka	abrakadabra|czarodziej|czarodziejka|czarodziejska|czary|czary-mary|hokus-pokus|magia|magik|różdżka|zaklęcie
🪅	piniata	cinco de mayo|cukierki|meksyk|pinata|piniata|święto|tradycja|zabawa
🪆	matrioszki	drewniana|kolekcja|laleczka|lalka|matrioszka|matrioszki|rękodzieło|rosyjska|w lalce|zabawka
🪇	marakasy	cza cza|grzechotać|grzechotki|impreza|instrument|marakasy|muzyka|perkusja|perkusyjny|potrząsać|taniec
🪈	flet	dęty|drewniany|flet|fujarka|grać|gwizdać|instrument|muzyka|na flecie|orkiestra|piccolo|pikolo|piszczałka|prosty
🪉	harfa	amorek|harfa|instrument|miłość|muzyka|orkiestra
🪊	puzon	instrument|instrument dęty blaszany|jazz|muzyka|smutek|suwak
🪎	skrzynia skarbów	bogactwo|kamień szlachetny|klejnot|kosztowności|łup|nagroda|pieniądze|srebro|złoto
🪏	łopata	dziura|kopać|łopata|szpadel
🪐	planeta z pierścieniami	pierścienie|planeta|planeta z pierścieniami|saturn|saturnowy
🪑	krzesło	krzesło|siadać|siedzenie
🪒	brzytwa	brzytwa|golarka|golarka ręczna|golenie|ostre narzędzie|żyletka
🪓	siekiera	drewno|rąbać|rozłupywać|siekiera|topór
🪔	dipa	dipa|lampka|oliwna
🪕	banjo	banjo|instrument|muzyka|strunowy
🪖	hełm wojskowy	armia|hełm|kask|militaria|ochrona głowy|wojownik|wojsko|wojskowy|żołnierz
🪗	akordeon	akordeon|bajan|harmonia|instrument|klawisze|koncertyna|muzyka
🪘	konga	bęben|bębenek|bębnić|instrument|konga|muzyka|rytm|tamburyn
🪙	moneta	bogactwo|dolar|euro|metalowa|moneta|pieniądze|skarb|srebrna|złota
🪚	piła do drewna	majsterkowanie|narzędzie|piła|piła do drewna|przecinarka|przycinać|stolarz|tarcica|zębate ostrze
🪛	śrubokręt	narzędzie|śruba|śrubokręt|wkręt|wkrętak
🪜	drabina	do góry|drabina|hierarchia|ranking|stopnie|szczebel|wspinać się
🪝	hak	haczyk|hak|połknąć|zaczep|zahaczyć|zakrzywiony|zawiesić|złapać|złowić
🪞	lustro	akcesoria do domu|lustro|makijaż|odbicie|przeglądać się|rama lustra|stroić się|wiszące lustro|wystrój wnętrza|zwierciadło
🪟	okno	framuga|okno|powietrze|przezroczyste|świeże|szyba|widok|witryna
🪠	przepychacz	hydrauliczne|hydraulik|narzędzie|odetkać|przepychać|przepychacz|przepychacz do toalety|przyssawka|toaleta|udrażnianie rur|udrożnić
🪡	igła krawiecka	cerówka|haft|igła|krawiecka|krawiectwo|szwy|szycie|z nitką|zszywać
🪢	węzeł	łączyć|lina|makrama|połączenie|splot|supeł|sznur|sznurek|węzeł|wiązać|wiązanie
🪣	wiadro	ceber|czerpak|kubeł|nabierać wodę|naczynie na ciecz|pojemnik|skopek|sprzątanie|wiaderko|wiadro
🪤	pułapka na myszy	łapka|na gryzonie|na myszy|na szczury|na szkodniki|potrzask|przynęta|pułapka|ser|sidła|zasadzka
🪥	szczoteczka do zębów	czyszczenie|do zębów|higiena|jama ustna|łazienka|myć zęby|mycie zębów|szczoteczka|szczotka|zębów|zęby
🪦	nagrobek	cmentarz|epitafium|grób|kamień nagrobny|miejsce pamięci|mogiła|nagrobek|płyta nagrobna|pomnik|spoczywać w pokoju
🪧	tabliczka	demonstracja|manifa|manifestacja|pikieta|protest|sprzeciw|tabliczka|transparent|wiec|znak
🪨	skała	blok skalny|bryła|ciężki|głaz|kamień|minerał|odłamek|opoka|skała|twardy
🪩	kula dyskotekowa	dyskoteka|kula dyskotekowa|migotanie|przyjęcie|taniec
🪪	dowód tożsamości	bezpieczeństwo|dane osobowe|dokument|dowód osobisty|dowód tożsamości|identyfikator|prawo jazdy
🪫	słaba bateria	bateria|elektronika|niski|poziom energii|słaba
🪬	chamsa	amulet|chamsa|dłoń|dłoń Fatimy|dłoń z okiem|Fatima|Miriam|ochrona|ręka Fatimy|ręka Miriam|ręka z okiem
🪭	wachlarz	flirt|gorąco|nieśmiałość|ochłoda|taniec|wachlarz|wachlować|wachlowanie
🪮	grzebień fryzjerski	afro|czesanie|fryzjerski|grzebień|rozczesywanie|włosy
🪯	khanda	deg|fateh|khalsa|khanda|religia|sikh|sikhizm|tegh|wiara
🪰	mucha	choroby|giez|gnicie|insekt|mucha|owad|szkodnik|tse-tse|zwierzę
🪱	robak	dżdżownica|glista|kompostowanie|pasożyt|pierścienice|robak|zwierzę
🪲	chrząszcz	chrabąszcz|chrząszcz|owad|żuk|zwierzę
🪳	karaluch	karaczan|karaluch|owad|prusak|szkodnik|zwierzę
🪴	roślina doniczkowa	doniczka|doniczkowa|doniczkowy|kwiat|roślina
🪵	drewno	drewno|kłoda|pień|polano|tarcica
🪶	pióro	fruwać|latanie|lekkość|pierze|pióra|pióro|pióro do pisania|upierzenie
🪷	lotos	buddyzm|czystość|hinduizm|kwiat|lotos|lotosu|piękno|spokój
🪸	koralowiec	koralowa|koralowiec|ocean|rafa
🪹	puste gniazdo	gniazdo|gniazdowanie|gnieżdżenie|ptasie|puste
🪺	gniazdo z jajkami	gniazdo|gniazdowanie|gnieżdżenie|jajka|ptasie|z jajkami|zniesione jaja
🪻	hiacynt	bławatek|chaber|fioletowy|hiacynt|indygo|krzew|kwiat|kwitnienie|lawenda|lilak|łubin|lwia paszcza|purpurowy|wiosna
🪼	meduza	akwarium|bezkręgowiec|galareta|macki|meduza|morski|morskie|morze|ocean|parzyć|plankton|zwierzę
🪽	skrzydło	anielskie|latający|latanie|lotnictwo|mitologia|niebiańskie|ptak|skrzydło|wznosić się
🪾	drzewo bez liści	bez liści|drzewo|susza|zima
🪿	gęś	drób|gąsior|gęganie|gęś|gęsi|głuptas|kaczka|ptak|stado|zwierzę
🫀	serce	anatomia|bicie serca|kardiologia|mięsień sercowy|narząd|organ|puls|serce
🫁	płuca	klatka piersiowa|narząd|oddech|oddychanie|organ|płuca|układ oddechowy|wdech|wydech
🫂	obejmujące się osoby	cześć|do widzenia|dzięki|obejmujące się osoby|objęcia|osoby|pocieszenie|przyjaźń|przytulenie|uścisk|wsparcie
🫃	mężczyzna w ciąży	brzuch|ciąża|mężczyzna|najedzony|pełny|przejedzenie|w ciąży|wzdęty
🫄	osoba w ciąży	brzuch|ciąża|najedzona|osoba|pełny|przejedzenie|w ciąży|wzdęty
🫅	osoba w koronie	korona|król|królewski|monarcha|osoba w koronie|szlachta
🫆	odcisk palca	bezpieczeństwo|odcisk palca|tożsamość
🫈	włochate stworzenie	człowiek z lasu|gigant|kryptyda|las|sasquatch|wielka stopa|włochate|yeti
🫍	orka	morski|ocean|wieloryb
🫎	łoś	łoś|poroże|ssak|zwierzę
🫏	osioł	muł|osioł|osiołek|ssak|uparty|zwierzę
🫐	borówka amerykańska	antyoksydanty|borówka|borówka amerykańska|jagoda|jedzenie|owoc|owoce leśne|rośliny
🫑	papryka	papryka|paprykowy|roślina|słodka|warzywo|witaminy|zielona
🫒	oliwka	drzewo oliwne|gałązka oliwna|jedzenie|oliwka|oliwki|roślina
🫓	pita	arepa|chlebek|jedzenie|lawasz|naan|pita|placek|podpłomyk
🫔	tamales	danie|jedzenie|meksykańskie|pamonha|przekąska|tamales|zawijane
🫕	fondue	czekolada|fondue|garnek|jedzenie|na ciepło|roztopione|ser|szwajcarskie
🫖	czajniczek	czajniczek|czajnik|dzbanek|herbata|imbryk|na herbatę|napój|picie
🫗	nalewanie płynu	nalewanie płynu|napój|pusty|rozlanie|szklanka|wylewanie
🫘	fasola	fasola|fasolka|jedzenie|nerkowata|strąk
🫙	słoik	pojemnik|przechowywanie|przyprawa|pusty|słoik|słój|sos|zapas
🫚	korzeń imbiru	imbir|imbiru|korzeń|naturalne|przyprawa|zdrowie|zioła|zioło
🫛	strąk grochu	edamame|fasola|groch|grochu|łuskać|roślina|soja|sojowa|strączek|strączkowa|strąk|warzywo
