⌚	наручний годинник	годинник|наручний годинник
🦖	тиранозавр	Динозавр|тиранозавр|Тиранозавр|тиранозавр королівський|Тиранозавр Рекс
🦗	цвіркун	жук|комаха|коник|кукарача|тарган|цвіркун
🦘	кенгуру	Австралія|кенгуру|кенгурятко|стрибати|стрибок|сумка|сумчастий|сумчасті|тварина|торбун
🦙	лама	альпака|вікунья|вовна|гуанако|лама|тварина|хутро|шерсть
🦚	павич	зарозумілий|кольоровий|красива|пава|павлін|птах|тварина|фазан|хвалькуватий|хвіст
🦛	бегемот	бегемот|гіпопотам|ссавець|тварина
🦜	папуга	ара|балакучий|папуга|папужка|пірат|птах|птаха|розмовляє|тварина
🦝	єнот	єнот|полоскун|ракун|тварина|хитрий|цікавий|шибеник
🦞	омар	біск|дари моря|клешні|лобстер|морепродукти|омар|рак|раковий суп|тварина|червоний лобстер
🦟	комар	вірус|гарячка|комар|комаха|малярія|москіт|укус|хвороба
🦠	мікроб	амеба|бактерії|бактерія|вірус|мікроб|мікроби|мікроорганізм|наука|хвороба
🦡	борсук	борсук|куницеві|медоїд|мустелові|ссавець|тварина|хутро
🦢	лебідь	гидке качення|гидке каченя|лебеденя|лебідь|озеро|птах|птаха|тварина
🦣	мамонт	бивень|великий|вимирання|волохатий|кам’яний вік|мамонт|тварина
🦤	дронт	великий|вимирання|додо|дронт|маврикійський|птах|тварина
🦥	лінивець	ледачий|лінивець|лінивий|млявий|повільний|тварина
🦦	видра	видра|водяний звір|грайливий|рибалка|тварина
🦧	орангутанг	антропоїд|людиноподібна|мавпа|орангутанг|примат|тварина
🦨	скунс	скунс|смердіти|сморід|тварина|тхнути
🦩	фламінго	птах|рожевий|тропіки|тропічний|фламінго
🦪	устриця	мушля|перли|перлина|устриця|устричний
🦫	бобер	бобер|бобри|боброва|бобровидні|гребля|гризти|зубатий|зуби|тварина
🦬	бізон	бізон|буйвол|зубр|рогата тварина|роги|свійська тварина|стадо|тварина|худоба
🦭	тюлень	арктика|морський котик|морський лев|океан|тварина|тюлень
🦮	собака-поводир	для незрячих|доступність|поводир|собака-поводир|спеціальні можливості
🦯	тактильна тростина	доступність|незрячі|незрячість|сліпота|спеціальні засоби|тактильна тростина
🦴	кістка	кальцій|кістка|кісточка|кості|скелет|собака|собачі ласощі
🦵	нога	зігнута нога|кінцівка|коліно|копняк|нога|стегно|стопа|удар ногою
🦶	ступня	гомілка|ніжка|нога|стопа|стопи|ступня|удар
🦷	зуб	білий|дантист|зуб|зуби|стоматолог
🦸	супергерой	героїня|герой|добрий|добро|супергерой|супермен|суперсила|суперсили
🦹	суперзлодій	зло|злодій|злочинець|лихий|лиходій|поганий|суперзлодій|суперзлочинець|суперлиходій|суперсила
🦺	сигнальний жилет	аварійно-захисний|аварійно-рятувальний|жилет|сигнальний жилет
🦻	вухо зі слуховим апаратом	вади слуху|вухо зі слуховим апаратом|доступність|слуховий апарат|спеціальні можливості
🦼	колісний візок з електроприводом	доступність|колісний візок з електроприводом|спеціальний засіб|спеціальні можливості
🦽	колісний візок із ручним приводом	доступність|колісний візок із ручним приводом|обмежені можливості|спеціальний засіб
🦾	механічна рука	доступність|механічна рука|протез|спеціальні можливості
🦿	механічна нога	доступність|механічна нога|протез|спеціальні можливості
🧀	кусень сиру	їжа|кусень сиру|сир|шматок сиру
🧁	капкейк	випічка|десерт|капкейк|кекс|ласощі|посипка|смаколик|солодке|солодощі|тістечко|торт
🧂	сіль	аромат|приправа|сварка|сіль|сільниця|сільничка|смак|солоний|спеції
🧃	пакетик із напоєм	картонний|напій|пакет|пакетик із напоєм|сік|соломинка|фруктовий сік
🧄	часник	їжа|приправа|спеції|часник|часниковий
🧅	цибуля	з цибулі|їжа|приправа|спеції|цибулинний|цибуля
🧆	фалафель	кулька з нуту|нут|фалафель
🧇	вафля	вафельний|вафлі|вафля|десерт|їжа|сніданок|солодощі
🧈	масло	масло|молочні продукти
🧉	мате	калабас|мате|напій|чай із падуба
🧊	кубик льоду	айсберг|кубик|кубик льоду|охолоджувати|холод|холодний
🧋	бульбашковий чай	бульбашковий|коктейль|молочний|напій|перловий|соломинка|тайвань|чай|чай з бульбашками
🧌	троль	казка|монстр|тролінг|троль|фентезі
🧍	людина, що стоїть	людина|людина, що стоїть|стояння|стояти|стоячи|стоячки|що стоїть
🧎	людина навколішках	коліна|людина навколішках|на колінах|навколішках|опускатися навколішки
🧏	людина з порушенням слуху	вада слуху|глухота|доступність|людина з порушенням слуху|слух|спеціальні можливості|чути
🧐	обличчя в моноклі	збільшувальне скло|лупа|монокль|обличчя в моноклі|обличчя з моноклем|пановитий|придивлятися
🧑	людина	гендерно-нейтральний|дорослий|людина|неозначеної статі|хлопець|хлопчик
🧑‍🌾	селянин	землероб|садівник|селянин|скотар
🧑‍🍳	куховар	кухар|куховар|шеф
🧑‍🍼	людина годує дитину	батьківство|батько|годування|годувати немовля|дитина|догляд|людина|людина годує дитину|мама|мати|немовля|тато
🧑‍🎄	Мікс Клаус	Клаус|людина|Мікс Клаус|різдво|Різдво|різдвяні свята|санта|свято|шапка санти
🧑‍🎓	слухач	випускник|слухач|студент
🧑‍🎤	вокаліст	актор|артист|вокаліст|зірка|рок|співак
🧑‍🎨	художник	митець|палітра|художник
🧑‍🏫	освітянин	викладач|інструктор|освітянин|учитель
🧑‍🏭	фабричний працівник	завод|конвеєр|промисловість|робітник|фабричний працівник
🧑‍💻	технічний працівник	винахідник|програміст|програмне забезпечення|розробник|технічний працівник|технолог
🧑‍💼	офісний працівник	архітектор|бізнес|білий комірець|менеджер|офісний працівник
🧑‍🔧	фахівець із механіки	електрик|майстер|механік|сантехнік|фахівець із механіки
🧑‍🔬	науковий працівник	біолог|інженер|науковець|науковий працівник|фізик|хімік
🧑‍🚀	космонавт	космонавт|ракета
🧑‍🚒	вогнеборець	вогнеборець|пожежна машина|пожежник
🧑‍🤝‍🧑	люди, що тримаються за руки	люди|люди, що тримаються за руки|людина|пара|рука|руки|тримати|тримаються|що тримаються за руки
🧑‍🦯	людина з тактильним ціпком	біла|білий|доступність|незрячі|спеціальні можливості|тростина|ціпок
🧑‍🦼	людина на моторизованому візку	колісне крісло|людина на моторизованому візку|спеціальні можливості
🧑‍🦽	людина у візку з ручним керуванням	колісне крісло|людина у візку з ручним керуванням|спеціальні можливості
🧑‍🧑‍🧒	родина: дорослий, дорослий, дитина	дитина|дорослий|родина з дитиною|родина: двоє дорослих і дитина|родина: дорослий|родина: дорослий, дорослий, дитина
🧑‍🧑‍🧒‍🧒	родина: двоє дорослих і двоє дітей	двоє дорослих і двоє дітей|родина: двоє дорослих і двоє дітей|родина: дорослі та діти
🧑‍🧒	родина: дорослий і дитина	родина: дорослий і дитина
🧑‍🧒‍🧒	родина: дорослий і діти	родина: дорослий і двоє дітей|родина: дорослий і діти
🧑‍🩰	танцівник балету	балет|танцівник|танцівниця
🧒	дитина	весело|гендерно-нейтральний|дитина|людина|малеча|неозначеної статі|сміх
🧓	літня людина	гендерно-нейтральний|дідусь|дорослий|літня людина|людина|неозначеної статі|старий|старша людина|чоловік
🧔	людина з бородою	борода|бородань|бородатий|людина з бородою
🧕	жінка в хустині	жінка в хустині|мантилья|монахиня|тихля|хіджаб|хустина
🧖	людина в паркому приміщенні	людина в лазні|людина в паркому приміщенні|парильня|релакс|сауна|хамам
🧗	людина, що лізе скелею	альпінізм|альпініст|альпіністка|лізти вгору|людина|людина, що лізе скелею|скелелаз|що лізе скелею
🧘	людина в позі лотоса	дзен|йога|людина в позі лотоса|медитація|нірвана|поза лотоса|релакс|схрещені ноги
🧙	маг	відьма|Гендольф|маг|магія|Старік-Хотабич|чаклун|чаклунка|чарівник|чародій
🧚	фея	казка|крила|метелик|Оберон|Пак|Титанія|фея
🧛	вампір	вампір|Дракула|костюм|нечиста сила|нечисть|опир|погань|упир|Хелловін
🧜	казкова водяна істота	водяна істота|жінка-русалка|казкова водяна істота|людина-русалка|морські створіння|русалка|Сирена|фольклор|чоловік-русалка
🧝	ельф	ельф|казка|Леголас|магічний|чаклун
🧞	джин	бажання|джин|казкова лампа|міфічний|примха|чарівна лампа
🧟	зомбі	жах|живий мрець|зобмі|зомбі|монстр|нечисть|хеллоуін
🧠	мозок	інтелект|інтелектуал|мізки|мозок|розум|розумна|розумний
🧡	оранжеве серце	кохання|оранжеве серце|помаранчевий|серце
🧢	бейсболка	бейсболка|бейсбольна кепка|капелюх|кашкет|кепка
🧣	шарф	зима|зимно|шалик|шарф|шия
🧤	рукавички	рука|рукавиця|рукавички
🧥	пальто	зима|зимно|куртка|пальто|пуховик|холодно
🧦	шкарпетки	панчохи|шкарпетки
🧧	червоний конверт	гроші|конверт|лист|на щастя|подарунок|хунбао|червоний конверт
🧨	петарда	вибух|вибухівка|вогонь|динаміт|іскри|салют|феєрверк|хлопавка
🧩	елемент пазла	головоломка|елемент пазла|з’єднання|пазл|підказка|розгадка|скдладанка|частина|шматок
🧪	пробірка	дослід|експеримент|лабораторія|наука|пробірка|хімік|хімія
🧫	чашка Петрі	бактерії|бактерія|біолог|біологія|культура|лабораторія|чашка петрі|чашка Петрі
🧬	ДНК	біолог|біологія|ген|генетика|днк|ДНК|еволюція|життя|спіраль
🧭	компас	компас|магнетизм|магніт|магнітний|навігація|напрямок|орієнтування|сторони світу
🧮	рахівниця	абак|обчислення|обчислювальний пристрій|рахівниця|рахувати
🧯	вогнегасник	вогнегасник|вогонь|гасити|пожежа|тушити|тушіння
🧰	скриня для інструментів	інструмент|інструменти|коробка|механік|механіка|набір інструментів|скриня|скриня для інструментів|скриня з інструментами|червона скриня
🧱	цегла	будівельний розчин|глина|розчин|стіна|цегла|цеглина|цеглини
🧲	магніт	u-подібний|магнетизм|магніт|північний-південний|підкова|позитивний-негативний|притягання|притягувати|тяжіння
🧳	багаж	багаж|валіза|пакувати|подорож|торба на коліщатках|чемодан
🧴	лосьйон	бальзам|зволожувач|крем від засмаги|лосьйон|пляшка лосьйону|сонцезахисний крем|шампунь
🧵	нитка	голка|жилка|котушка|нитка|пряжа|шиття|шпулька
🧶	пряжа	в’язання|клубок|моток|мотузка|нитка|нитки|прядиво|пряжа
🧷	англійська шпилька	англійська шпилька|булавка|від навроків|панк-рок|шпилька
🧸	ведмедик	ведмедик|ведмедик тедді|іграшка|м’яка іграшка|плюш|плюшева іграшка|плюшевий ведмедик
🧹	мітла	відьма|віник|замітання|мітла|підмітати|прибирання|прибирати
🧺	кошик	білизна|корзина|кошик|пікнік|прання|урожай|ферма
🧻	рулон паперу	паперові рушники|папір|рулон паперу|туалет|туалетний папір
🧼	мило	брусок|бульбашки|ванна|купання|купатися|мило|мильниця|митися|миття|туалетне мило|чистий|чистити|шкіра
🧽	губка	губка|мочалка|поглинання|поглинати|пори|пористий|поролон|прибирання|чистити
🧾	квитанція	бухгалтерія|доказ|документ|інвойс|квитанція|рахунок|рахунок-фактура|фактура|чек
🧿	Око Фатіми	амулет|амулет від вроків|наврочити|назар|намистина|оберіг|Око Фатіми|пристріт|синій|талісман|шарм
🩰	балетні туфлі	балет|балетні туфлі|взуття|пуанти|танець|танцювальні
🩱	суцільний купальник	закритий|костюм для плавання|купальний костюм|плавати|суцільний купальник
🩲	плавки	брифи|купальник|одинарний|плавки|спіднє|труси
🩳	шорти	купальник|плавки|спіднє|труси|шорти
🩴	в’єтнамки	в’єтнамки|взуття|дзорі|море|пісок|пляж|пляжні сандалі|сандалі|шльопанці
🩵	блакитне серце	блакитне серце|блакитний|емоція|люблю|любов|милий|особливий|подобатися|світло-синій|серце|синій|ціановий
🩶	сіре серце	графітовий|емоція|люблю|любов|особливий|серце|сіре серце|сірий|срібний
🩷	рожеве серце	добрий|емоція|люблю|любов|милий|особливий|подобається|рожеве серце|рожевий|серце|солодкий|чарівний
🩸	крапля крові	аналіз крові|донорство крові|крапля крові|критичні дні|кров|кровотеча|медицина|менструація|місячне|стікати кровʼю|травма
🩹	пластир	бандаж|клейка смужка|лейкопластир|наклейка|наліпка|пластир
🩺	стетоскоп	вислухувати серце|лікар|медицина|серце|слухати|стетоскоп
🩻	рентген	кістки|лікар|медицина|рентген|скелет
🩼	милиця	втрата дієздатності|допомога|засіб відновлення здатності рухатися|інвалідність|костур|милиця|поранений|травма|ціпок
🪀	йо-йо	бовтатися|іграшка|йо-йо|крутитися|метлятися|теліпатися|хилитатися
🪁	повітряний змій	витати|линути|літати|літун|підніматися|повітряний змій|ширяти
🪂	парашут	кайт|параплан|парапланеризм|парафойл|парашут|парашут-крило|спорт|стрибки з парашутом|стрибок
🪃	бумеранг	аборигени|австралія|Австралія|бумеранг|віддача|зброя|повернення|полювання|рикошет
🪄	чарівна паличка	абракадабра|ілюзії|магічне шоу|магія|фокуси|чаклун|чаклунка|чарівник
🪅	піньята	вечірка|іграшка|мексика|палиця|піньята|святкування|свято|цукерки
🪆	ляльки-матрьошки	дерев’яна іграшка|дерев’яна лялька|лялька|лялька в ляльці|ляльки-матрьошки|матрьошка|народна іграшка|росія
🪇	маракас	вечірка|інструмент|маракас|музика|танець|ударні інструменти|ча-ча-ча
🪈	флейта	блокфлейта|деревʼяні духові інструменти|дудка|інструмент|музика|сопілка|флейта
🪉	арфа	амур|інструмент|купідон|любов|музика|оркестр
🪊	тромбон	джаз|духовий інструмент|музика|слайд|сумний
🪎	скриня скарбів	багатство|гроші|дорогоцінний камінь|здобич|золото|коштовності|приз|срібло|цінності
🪏	лопата	заступ|копати|могила|поховання|рослина|сад|сніг|совок|яма
🪐	планета з кільцем	планета з кільцем|сатурн|Сатурн
🪑	стілець	крісло|меблі|сидіння|сидіти|стілець
🪒	бритва	бритва|голити|голитися|гостра|лезо|небезпечна
🪓	сокира	деревина|дрова|колоти|розколювати|рубати|сокира|тесати|тяти
🪔	каганець	блимавка|каганець|лампа|лампадка|мигунець|олійна
🪕	банджо	банджо|інструмент|музичний|струнний|щипковий
🪖	військовий шолом	армія|військовий|воїн|каска|солдат|солдатський|шолом
🪗	акордеон	акордеон|баян|гармоніка|інструмент|клавіші|концертина|музика
🪘	циліндричний барабан	барабан|інструмент|конґа|музика|ритм|ударні|циліндричний барабан
🪙	монета	багатство|гроші|долар|євро|золото|метал|монета|скарб|срібло
🪚	теслярська пила	деревина|інструмент|пила|пилка|пиляти|різати|ручна пилка|тесля|теслярська пила
🪛	викрутка	викрутка|гвинт|інструмент|майстерня|пласка викрутка|ремонт|шліц
🪜	драбина	вилізти|драбина|лізти|перекладина|приставна драбина|сходинка|щабель
🪝	гачок	вудка|гак|гачок|комерційний аргумент|крива|кріплення|піймати|принада|риболовля
🪞	дзеркало	відбивач|відображення|декор|дзеркало|інтерʼєр|краса|макіяж|рефлектор
🪟	вікно	будинок|відчинити|вікно|краєвид|прозоре|рама|свіже повітря|скло
🪠	вантуз	вантуз|гумова присоска|закупорення|прочищення|сантехнік|труби|туалет
🪡	швацька голка	вишивання|вушко|голка|голка з ниткою|кравецтво|нитка|нитка з голкою|стібки|швацька голка|шви|шиття
🪢	вузол	вузол|канат|морський вузол|мотузка|петля|плетення|плетиво|трос|шнурок
🪣	відро	бак|відерце|відро|цеберко|чан|шаплик
🪤	мишоловка	мишоловка|пастка|приманка|сильце|сир
🪥	зубна щітка	ванна кімната|гігієна|зуби|зубна|туалет|чистити|щітка
🪦	надгробок	епітафія|кладовище|меморіал|мертвий|могильна плита|надгробок|памʼятник|покійник|смерть|цвинтар
🪧	плакат	гасло|демонстрація|знак|мітинг|пікет|плакат|протест|табличка|транспарант
🪨	камінь	брила|важкий|валун|гірська порода|каменюка|камінь|кругляк|скеля|твердий
🪩	дзеркальна куля	блискучий|вечірка|дзеркальна куля|диско|диско-куля|дискотека|куля|танці|танцювати
🪪	посвідчення	водійське посвідчення|документ|ідентифікаційна картка|ідентифікаційний документ|особові дані|посвідчення|посвідчення особи|пропуск
🪫	низький заряд батареї	батарея|електроніка|низький заряд|низький заряд батареї|розряджена батарея|розряджений|розряджено
🪬	хамса	амулет|долоня|захист|Марія|Мірʼям|провидіння|рука|удача|Фатіма
🪭	складане віяло	охолоджувати|складане віяло|соромитися|танцювати|фліртувати
🪮	гребінь	афро|волосся|гребінь|розчісувати
🪯	кханда	віра|кханда|релігія|сикх|сикхізм
🪰	муха	гниль|дзижчання|комаха|крила|личинка|муха|хвороба|шкідник
🪱	хробак	дощовий хробак|дощовий червʼяк|земляний червʼяк|кільчастий черв|наживка|паразит|тварина|хробак|червʼяк
🪲	жук	бронзівка|жук|жучок|комаха|кузка|кузька|тварина
🪳	тарган	комаха|непроханий гість|паразит|прусак|прусак рудий|тарган|тварина|шкідник
🪴	рослина в горщику	вазон|вирощувати|горщик|декор|догляд|домашня|кімнатна|рослина
🪵	деревина	деревина|дерево|колода|лісоматеріал|пень|пеньок|річні кільця|рубати
🪶	пір’їна	невагома|оперення|перо|пір’їна|пір’я|політ|птах
🪷	лотос	безтурботність|буддизм|врівноваженість|гармонія|індуїзм|квітка|краса|лад|лотос|мир|символ чистоти|спокій
🪸	корал	зміна клімату|корал|море|океан|риф
🪹	порожнє гніздо	гілка|гніздечко|гніздо|гніздування|дім|порожнє гніздо
🪺	гніздо з пташиними яйцями	гілка|гніздечко|гніздо|гніздо з пташиними яйцями|гніздо з яйцями|гніздування|птах|яйце|яйця
🪻	гіацинт	весна|гіацинт|квітка|рослина|фіолетовий
🪼	медуза	безхребетний|жало|медуза|море|морський|океан|опік|тварина|щупальці
🪽	крило	авіація|ангел|ангельський|крило|летіти|міф|міфологія|небесний|політ|птах
🪾	сухе дерево	безлистий|безплідний|гілки|голий|дерево|зима|мертвий|посуха|стовбур
🪿	гусак	бешкет|га|галас|гусак|гуска|зграя|клин|птах|птиця|тварина
🫀	серце	анатомічний|внутрішній орган|кардіологія|кров|орган|пульс|серце|серцебиття|центр|червоний
🫁	легені	вдих|видих|внутрішній орган|дихання|легені|легеня|орган|подих
🫂	люди обіймаються	вдячність|втіха|дружба|любов|люди обіймаються|обійми|підтримка|привітання|прощання
🫃	чоловік із «вагітним» животом	вагітна людина|вагітність|живіт|здуття живота|наївся|переїдання|чоловік|чоловік із «вагітним» животом
🫄	вагітна людина	вагітна жінка|вагітна людина|вагітність|великий живіт|здуття живота|переїдання|ситість
🫅	людина з короною на голові	аристократія|королева|королівська особа|королівський|король|корона|людина з короною на голові|монарх|цар|цариця|царський
🫆	відбиток пальця	безпека|детектив|друк|злочин|ідентифікація|криміналістика|підказка|слід|таємниця
🫈	волохата істота	велетень|волохатий|єті|криптид|ліс|сасквоч|снігова людина
🫍	косатка	кит|морський|океан
🫎	лось	лосиха|лось|роги|ссавець|тварина
🫏	віслюк	віслюк|ішак|мул|осел|ослиця|ссавець|тварина|упертий|упертюх
🫐	лохина	їжа|лісові ягоди|лохина|сині ягоди|синя|чорниця|ягода
🫑	солодкий перець	болгарський перець|вегетаріанська їжа|зелений перець|їжа|овоч|паприка|перець|солодкий перець
🫒	оливка	гілка|їжа|оливка|оливкова гілка|ягода|ягоди
🫓	корж	арепа|їжа|калач|корж|лаваш|наан|паляниця|піта|тортилья|хліб
🫔	тамале	завиванець|їжа|мексика|мексиканська страва|памонья|рол|тамале|тісто
🫕	фондю	альпи|горщичок|какелон|кастрюлька|лижі|сир|топлений|фондю|швейцарська страва|шоколад
🫖	чайник	заварник|заварювати|їжа|напій|посуд|чай|чайник
🫗	склянка, з якої виливається рідина	виливати|випадковість|вода|напій|порожня|проливати|розлити|склянка|упс
🫘	квасоля	боби|бобові|їжа|квасолина|квасоля|невеликі
🫙	банка	банка|ємність|зберігання|нічого|порожня|слоїк|соус|спеції
🫚	імбир	здоровʼя|імбир|імбирний|коріння|натуральний|пиво|спеції
🫛	стручок гороху	біб|бобові|горох|горошок|едамаме|зелений|овоч|стручкові|стручок гороху
🫜	коренеплід	буряк|веганство|вегетаріанство|їжа|корінь|редька|ріпа|рослина|сад|салат
🫟	ляпка	безлад|бризки|краплі|пляма|рідина|розливати|фарби|холі|чорнило
🫠	розплавлене обличчя	зникати|лол|ніяково|обличчя|плавитися|розчинятися|сарказм|спека|танути|текти|хаха
🫡	обличчя, що козиряє	буде зроблено|згода|козиряти|обличчя|ОК|повага|респект|салют|слухаюсь|так|так точно|удачі|честь|шанування
🫢	обличчя з розплющеними очима і рукою на роті	диво|здивування|мовчанка|мовчати|не вірю|не може бути|нівроку|о боже|обличчя|ого|переляк|сюрприз|тиша|шок
🫣	обличчя, що підглядає одним оком	виглядати|витріщається|конфуз|наляканий|ніяково|обличчя|одне око|підглядає|соромʼязливий|соромитися|умирає з цікавості|ховатися
🫤	обличчя з ротом навскіс	байдуже|заплутатися|збентежений|невпевненість|обличчя|розчарований|скептицизм|сумнів|та ну|так собі
🫥	обличчя пунктиром	байдуже|все одно|депресія|зникнути|інтроверт|невидимка|обличчя|пригнічений|схований|сховатися|так собі|ховатися
🫦	закушена нижня губа	нерви|ніяковість|помада|поцілунок|сексуально|страх|стурбованість|тривога|укус|флірт|хвилюватись
🫧	бульбашки	бульбашка|бульбашки|бульбашки газу|мило|перлина|під водою|пускати бульбашки|чистити
🫨	тремтливе обличчя	Боже|вібрація|землетрус|несподіванка|обличчя|ошелешення|паніка|смайл|сюрприз|тремтіння|шок
🫩	невиспане обличчя	виснаження|замореність|мішки|нудьга|обличчя|очі|пізно|сонливість|утома
🫪	спотворене обличчя	вразливість|здивування|здуття|паніка|тривога|шок
🫯	бійка в хмарі	бій|боротьба|галас|дебати|незгода|сварка|суперечка
🫰	клацання пальцями	<3|вартість|гроші|дорого|клацання пальцями|коштує|любов|плати|рука|серце
🫱	долоня вправо	вправо|долоня|потискати|права рука|праворуч|простягнути|рука|рукостискання|тримати
🫲	долоня вліво	вліво|долоня|ліва рука|ліворуч|потискати|простягнути|рука|рукостискання|тримати
🫳	рука долонею вниз	взяти|випустити|випустити з руки|відпускаю|зронити|киш!|підняти|рука|рука долонею вниз
🫴	рука долонею вгору	впіймати|ловити|підійди|підкликати|піднімати|підходити|пропозиція|розкажи|скажи|тримати
🫵	вказівний палець, що вказує на глядача	ви|вказівний палець|вказівний палець, що вказує на глядача|палець|показувати|рука|ти|тикати|указувати|що вказує на глядача
🫶	жест «серце»	<3|жест «серце»|кохання|люблю тебе|любов|руки|серце
🫷	долоня штовхає вліво	відмовити|дай|заблокувати|зупинити|ліворуч|ляснути|пʼять|припини|стоп|штовхати
🫸	долоня штовхає вправо	відмовити|дай|заблокувати|зупинити|ляснути|пʼять|праворуч|припини|стоп|штовхати
