⌚	orologio	orologio|orologio da polso|tempo
🛅	simbolo del deposito bagagli	aeroporto|bagagli|deposito|servizio bagagli|sicurezza|simbolo del deposito bagagli|viaggiare
🛌	persona a letto	addormentato|arredamento|dormire|hotel|letto|notte|persona a letto|sonno|stanca|stanco|zzz
🛐	luogo di culto	luogo di culto|luogo di preghiera|luogo sacro|persona che prega|pregare|preghiera|religione|silenzio|simbolo
🛑	segnale di stop	geometria|ottagonale|ottagono|rosso|segnale|segnale di stop|stop
🛒	carrello	acquistare|acquisti|acquisto|carrello|carrello della spesa|centro commerciale|fare la spesa|shopping|spesa|supermercato
🛕	tempio indù	induismo|tempio indù|tempio induista
🛖	capanna	capanna|capanno|casa|iurta|rifugio
🛗	ascensore	accessibilità|ascensore|montacarichi
🛘	frana	disastro|montagna|pericolo|rocce|smottamento|terremoto|valanga
🛜	wireless	computer|connessione|internet|rete|trasmissione|wi-fi|wifi|wireless
🛝	scivolo	area divertimento|area giochi|giocare|giochi per bambini|parco giochi|scivolata|scivolo
🛞	ruota	auto|cerchio|cerchione|girare|gomma|pneumatico|ruota|veicolo
🛟	salvagente	ciambella|galleggiante|gonfiabile|nuotare|salvagente|salvare|salvataggio|sicurezza|soccorso
🛫	decollo	aereo|andare|check-in|decollo|partenza|partenze|partire|pista di decollo|trasporti|trasporto|vacanza|viaggiare
🛬	atterraggio	aereo|aeroplano|aeroporto|arrivare|arrivi|arrivo|atterraggio|pista d’atterraggio|trasporti|trasporto|veicolo|viaggiare
🛴	monopattino	monopattino|trasporti|veicolo
🛵	scooter	due ruote|estate|guidare|mezzo|motorino|scooter|trasporti|trasporto|vacanze romane|veicolo|vespa|viaggiare
🛶	canoa	barca|canoa|fiume|imbarcazione|kayak|lago|mare|pagaia|sport|trasporto
🛷	slitta	inverno|montagna|neve|slitta|slittino|toboggan
🛸	disco volante	alieni|disco volante|extra terrestri|marziani|spazio|ufo|UFO
🛹	skateboard	andare in skate|andare sullo skateboard|rotelle|skate|skateboard|skateboarder|skater|tavola da skateboard
🛺	risciò a motore	risciò a motore|tuk tuk
🛻	pickup	auto|camioncino|furgoncino|pick-up|pickup|trasporto|veicolo
🛼	pattini a rotelle	pattinaggio|pattinare|pattini|pattini a rotelle|rotelle|sport
🟠	cerchio arancione	arancione|cerchio|cerchio arancio|cerchio di colore arancione|forma
🟡	cerchio giallo	cerchio|cerchio di colore giallo|colore giallo|forma|giallo
🟢	cerchio verde	cerchio|cerchio di colore verde|colore verde|forma|verde
🟣	cerchio viola	cerchio|cerchio di colore viola|colore viola|forma|viola
🟤	cerchio marrone	cerchio|cerchio di colore marrone|colore marrone|forma|marrone
🟥	quadrato rosso	colore rosso|forma|quadrato|quadrato di colore rosso|rosso
🟦	quadrato blu	blu|colore blu|forma|quadrato|quadrato di colore blu
🟧	quadrato arancione	arancione|colore arancione|forma|quadrato|quadrato di colore arancione
🟨	quadrato giallo	colore giallo|forma|giallo|quadrato|quadrato di colore giallo
🟩	quadrato verde	colore verde|forma|quadrato|quadrato di colore verde|verde
🟪	quadrato viola	colore viola|forma|quadrato|quadrato di colore viola|viola
🟫	quadrato marrone	colore marrone|forma|marrone|quadrato|quadrato di colore marrone
🟰	segno di uguaglianza	matematica|segno di uguaglianza|segno uguale|uguaglianza|uguale
🤌	mano a pigna	che vuoi|cosa vuoi|dita unite|gesto della mano|interrogativo|ma che dici|mano a borsa|mano a carciofo|mano a cuoppo|mano a pigna|mano a tulipano|sarcastico
🤍	cuore bianco	bianco|cuore|emozione
🤎	cuore marrone	amore|cuore|cuore di colore marrone|emozione|forma|marrone
🤏	mano che fa il gesto del pizzico	dita|gesto|mano che fa il gesto del pizzico|piccola quantità|piccolo|poco|un po’|un pochino
🤐	faccina con bocca con cerniera	acqua in bocca|bocca a zip|bocca cucita|faccina con bocca con cerniera|faccina con zip|no comment|non parlare|non posso parlare|segreto|silenzio|zitto
🤑	faccina avida di denaro	avarizia|avidità|avido|denaro|dollari|faccina con lingua verde|guadagnare|lingua|pagare|ricchezza|ricco|taccagno
🤒	faccina con termometro	ammalato|faccina|faccina con termometro|faccina malata|febbre|influenza|malato|mutua|raffreddore|termometro
🤓	faccina nerd	faccina|nerd|occhiali|occhiali da nerd|secchione|studioso
🤔	faccina concentrata	arrovellarsi|concentrarsi|dubbio|faccina|faccina che pensa|faccina concentrata|mmm|pensare|scervellarsi
🤕	faccina con la testa bendata	bende|dolore|faccina|faccina bendata|faccina con la testa bendata|faccina malata|farsi male|fasciarsi la testa|ferita|ferito|mal di testa|malato
🤖	faccina di robot	faccina|faccina di robot|robot|tecnologia
🤗	faccina che abbraccia	abbracciare|abbraccio|ciao|faccina|faccina che abbraccia|imbarazzo|mani|mano|saluti|sorriso|ti voglio bene|tvb
🤘	segno delle corna	concerto|corna|fare le corna|gesto|mani|mano con le corna|rock and roll|rockstar|segno delle corna
🤙	mano con gesto di chiamata	chiamami|chiamare|dita|dito|gesto|mani|mano|mano con gesto di chiamata|telefonare|ti chiamo
🤚	dorso mano alzata	alzata|ciao|ciaone|dorso mano alzata|mano
🤛	pugno a sinistra	mano|mano chiusa|pugno|pugno a sinistra|sinistra
🤜	pugno a destra	destra|pugno|pugno a destra
🤝	stretta di mano	affare fatto|conoscere|d’accordo|mani che si stringono|ok|patto|piacere|presentarsi|presentazione|promessa|stretta di mano|stringersi la mano
🤞	dita incrociate	buona fortuna|dita|dita incrociate|fortuna|incrociare|incrociare le dita|mano
🤟	gesto ti amo	corna|dita|dito|gesto|gesto ti amo|gesto tvb|mano|rock|tre dita
🤠	faccina con cappello da cowboy	cappello|cappello da cowboy|cowboy|faccina|faccina con cappello da cowboy
🤡	faccina pagliaccio	carnevale|circo|clown|faccina|faccina del clown|It|maschera|pagliaccio|teatro
🤢	faccina nauseata	faccina|faccina che vomita|faccina con la nausea|faccina nauseata|hang over|mal di mare|malato|nausea|nauseato|sto male|verde|vomito
🤣	ridere a crepapelle	ahah|crepapelle|divertente|esilarante|faccia che si rotola|faccina che ride|felice|felicissimo|lacrime dal ridere|lmao|lol|molto felice|occhi chiusi|ridere a crepapelle|ridicolo|risata|rofl
🤤	faccina che sbava	bava|che buono|faccina|faccina che sbava|felice|figata|sbavare
🤥	faccina bugiarda	bugia|bugiardo|dire le bugie|faccina|faccina bugiarda|faccina con il naso lungo|mentire|naso lungo|pinocchio
🤦	persona esasperata	disperazione|esasperazione|facepalm|incredulità|mano in fronte|oddio|oh no|persona|persona esasperata
🤧	faccina che starnutisce	faccina|faccina che starnutisce|faccina con fazzoletto|faccina con raffreddore|fazzoletto|malato|raffreddore|starnutire|starnuto
🤨	faccina con sopracciglia alzate	diffidente|disappunto|eh|faccia con sopracciglia alzate|faccina con sopracciglio alzato|incredulo|mah|non ci credo|scetticismo|scettico|sconcertato|sorpresa|sorpreso
🤩	colpo di fulmine	emozionante|emozionato|faccia sorridente|faccina con le stelle|felice|figata|figo|occhi a stella|stelline|wow
🤪	faccina impazzita	faccina|faccina con occhi pazzi|faccina impazzita|faccina pazza|grande|inquietante|occhi|occhi diversi|occhio|pazzo|piccolo|sclerato
🤫	faccina che zittisce	dito|faccina che zittisce|muto|non parlare|segreto|silenzio|silenzioso|zittire|zitto
🤬	faccina con simboli sulla bocca	arrabbiato|bestemmiare|censura|faccina|faccina che bestemmia|faccina che impreca|faccina con simboli sulla bocca|imprecare|incavolato|insultare|molto arrabbiato
🤭	faccina con mano sulla bocca	faccina che sogghigna|imbarazzato|imbarazzo|mano davanti alla bocca|non ci credo|oddio|oops|ridacchiare|ridere|segreto|sogghignare|sorpresa
🤮	faccina che vomita	faccina|faccina che vomita|malato|male|nausea|sputare|sto male|verde|vomitare|vomito
🤯	testa che esplode	cervello|faccina sorpresa|mindblown|non ci credo|sbalordito|scioccato|sconcertato|sorpesa|sorpreso|stupore|testa che esplode
🤰	donna incinta	donna|gravidanza|incinta|mamma|pancione
🤱	allattare	allattamento|allattare|allattare al seno|bebé|donna|donna che allatta|mamma|mamma che allatta|persona
🤲	mani unite in alto	desiderare|mani|mani a coppa|mani in preghiera|mani unite|mani unite in alto|mano|offrire|palmi|palmo della mano|pregare|preghiera
🤳	selfie	autoscatto|fare un selfie|foto|fotocamera|fotografare|fotografia|scattare|selfie|smartphone|telefono
🤴	principe	comandare|corona|fiaba|monarca|principe|re|reale|sovrano|uomo
🤵	persona in smoking	abito|elegante|festa|matrimonio|persona in smoking|smoking
🤶	Mamma Natale	cappello|donna|fest|mamma natale|Mamma Natale|natale|santa claus
🤷	persona che scrolla le spalle	boh|dubbio|forse|indifferenza|non lo so|non saprei|noncuranza|persona che alza le spalle|persona che scrolla le spalle|può darsi|spalle alzate|vabbè
🤸	persona che fa la ruota	atleta|attiva|capriola|felice|ginnasta|ginnastica|persona|persona che fa la ruota|ruota
🤹	persona che fa giocoleria	abilità|destrezza|equilibrio|giocoliere|palline|persona|persona che fa giocoleria
🤺	schermidore	fioretto|persona|scherma|schermidore|spada|sport
🤼	persone che fanno la lotta	combattimento|lottatori|persone|persone che fanno la lotta|sport|torneo|wrestler|wrestling
🤽	persona che gioca a pallanuoto	acqua|giocatrice di pallanuoto|pallanuoto|persona|persona che gioca a pallanuoto|piscina|sport
🤾	persona che gioca a pallamano	atleta|lanciare|palla|pallamanista|pallamano|persona|persona che gioca a pallamano|sport|tirare la palla
🤿	maschera da sub	diving|fare immersioni|immersioni|maschera da sub|maschera e boccaglio|nuotare|nuoto|snorkeling|sport
🥀	fiore appassito	appassito|fiore|natura|pianta|rosa|rosa appassita|sfiorire|sfiorita
🥁	tamburo	bacchette|banda|musica|percussioni|tamburello|tamburo
🥂	brindisi	anniversario|auguri|bere|brindare|brindisi|champagne|cin cin|compleanno|congratulazioni|festeggiare|prosecco|spumante
🥃	bicchiere tumbler	alcool|bevanda|bicchiere|drink|liquore|tumbler|whisky
🥄	cucchiaio	cucchiaino|cucchiaio|cucina|posate|stoviglie|utensili
🥅	porta da calcio	calcio|gol|porta|porta da calcio|porta di calcio|rete|sport|traversa
🥇	medaglia d’oro	medaglia|medaglia d’oro|numero 1|numero uno|oro|primo posto|sport|uno|vincere
🥈	medaglia d’argento	argento|medaglia|medaglia d’argento|secondo posto|sport
🥉	medaglia di bronzo	bronzo|gara|medaglia|medaglia 3|medaglia di bronzo|sport|terzo|terzo posto
🥊	guantone da pugilato	boxe|forza|guanto|guantone|guantone da pugilato|pugilato|pugile|pugno|sport
🥋	kimono per arti marziali	arti marziali|judo|karate|kimono|kimono per arti marziali|sport|taekwondo|uniforme
🥌	stone da curling	curling|sport|stone da curling
🥍	lacrosse	goal|lacrosse|palla|pallina|racchetta da lacrosse|rete|sport
🥎	palla da softball	guantone|palla|palla da softball|softball|sport
🥏	frisbee	disco|disco volante|frisbee|ultimate frisbee
🥐	croissant	bar|cibo|colazione|cornetto|croissant|dolce|francese|zucchero
🥑	avocado	avocado|cibo|frutta|frutto
🥒	cetriolo	cetriolino sottaceto|cetriolo|cibo|ortaggio|sott’aceto|sotto aceto|verdura
🥓	pancetta	americana|bacon|carne|cibo|cibo americano|colazione|maiale|pancetta
🥔	patata	cibo|ortaggio|patata|patatine|tubero|verdura
🥕	carota	arancione|carota|carotene|cibo|coniglio|dieta|ortaggio|radice|sano|verdura|verdure
🥖	baguette	baguette|carboidrati|cibo|filone|francese|Francia|pane
🥗	insalata verde	cena|cibo|insalata|insalata mista|insalata verde|mangiare|pranzo|salutare|salute|verdure
🥘	padella con cibo	casseruola|cibo|cucina|cucinare|padella|padella con cibo|paella|Spagna
🥙	pita farcita	carne|cibo|cibo turco|cucina turca|falafel|gyro|kebab|pita farcita|ripieno|ristorante
🥚	uovo	cibo|uova|uovo
🥛	bicchiere di latte	bevanda|bicchiere|bicchiere di latte|latte
🥜	arachidi	arachide|arachidi|cibo|frutta secca|nocciolina|noccioline
🥝	kiwi	cibo|frutt|frutta|frutto|kiwi
🥞	pancake	america|brunch|burro|cibo|colazione|crêpe|dolce|francia|frittelle|pancake|sciroppo d’acero|zucchero
🥟	raviolo	cibo|dumpling|empanada|fagottino|gyoza|jiaozi|pierogi|ravioli|raviolo
🥠	biscotto della fortuna	biscotto|biscotto della fortuna|cibo|cinese|consiglio|profezia|suggerimento
🥡	confezione da asporto	asporto|bacchette|bastoncini|cibo|cibo a domicilio|cibo cinese|cibo da asporto|confezione da asporto|consegna|scatola d’asporto
🥢	bacchette	bacchette|bastoncini|cibo asiatico|hashi|jeotgarak|kuaizi
🥣	ciotola con cucchiaio	cereali|cibo|ciotola|ciotola con cucchiaio|colazione|porridge|scodella|tazza|zuppa|zuppiera
🥤	bicchiere con cannuccia	acqua|bevanda|bevande|bibita|bibita gasata|bicchiere|bicchiere con cannuccia|cannuccia|succo
🥥	cocco	cibo|cocco|frutta|frutto|noce di cocco|palma|piña colada
🥦	broccoli	broccoli|broccolo|cavolo nero|cibo|verde|verdura
🥧	torta	apple pie|cibo|dolce|fetta|pasticceria|torta|torta di mele|torta di zucca|tortino
🥨	pretzel	brezel|cibo|pane|pretzel
🥩	taglio di carne	bistecca|braciola|carne|carne rossa|cibo|costoletta|costoletta d’agnello|costoletta di maiale|cotoletta|scaloppina|taglio|taglio di carne
🥪	sandwich	cibo|pane|panino|sandwich
🥫	cibo in scatola	cibo|cibo in scatola|latta|lattina|scatoletta
🥬	verdure a foglia	bok choy|cavolo|cavolo cinese|cavolo nero|foglia verde|hamburger|insalata|kale|lattuga|verdura|verdure a foglia|verza
🥭	mango	cibo|frutta|frutto|mango|shaker|tropicale
🥮	torta della luna	autunno|dolce della luna|dolce lunare|festa d’autunno|festival|moon cake|torta lunare|yuebing|yuèbǐng
🥯	bagel	bagel|ciambella di pane|colazione|pane|panetteria|panificio|spalmare|spalmare formaggio sul bagel
🥰	faccina con cuoricini	amore|cotta|cuoricini|faccina|innamoramento|sorriso|ti amo
🥱	faccina che sbadiglia	annoiato|assonnato|buona notte|mi annoio|noia|pisolino|sbadigliare|sbadiglio|sonno|stanchezza|stanco|zzz
🥲	faccina sorridente con lacrima	commosso|dolore|emozionato|faccina sorridente con lacrima|felice|lacrima|orgoglioso|rincuorato
🥳	faccina che festeggia	cappellino|celebrazione|compleanno|entusiasta|faccina che festeggia|festa|festeggiamenti|festeggiamento|festeggiamo|festeggiare|party|si festeggia|trombetta
🥴	faccina stordita	alticcio|bocca ondulata|brillo|confuso|frastornato|occhi storti|ubriaco|vertigini
🥵	faccina accaldata	accaldato|bollente|caldo|colpo di calore|febbre|febbricitante|fuoco|lingua di fuori|morendo dal caldo|morire di caldo|sudare|sudore
🥶	faccina congelata	blu|congelare|denti che battono per il freddo|freddo|gelo|ghiaccioli|ghiacciolo|ipotermia|sottozero
🥷	ninja	abilità|assassino|combattimento|furtivo|guerra|guerriero|invisibile|nascosto|ninja|persona
🥸	faccina travestita	baffi|faccina|faccina travestita|incognito|naso|occhiali|persona|spia|travestimento
🥹	faccina che trattiene le lacrime	ammirazione|faccina con gli occhi umidi|fiero|gioia|gratitudine|grato|imbarazzato|lacrime|orgoglioso|per favore|piangere|resistere|sentimenti|trattenere|triste
🥺	faccina supplichevole	faccina implorante|faccina sull’orlo delle lacrime|lacrime|occhi da cucciolo|occhioni|per favore|per piacere|supplicare|triste
🥻	sari	abbigliamento|abito indiano|abito tradizionale indiano|sari|vestito indiano|vestito tradizionale
🥼	camice	abiti|camice|camice bianco|camice da laboratorio|dottore|dottoressa|esperimento|giacca|medico|scienziato
🥽	maschera	immersioni|maschera|nuotare|nuoto|occhiali di protezione|occhiali protettivi|occhialini|protezione per gli occhi|saldare|saldatura|sub
🥾	stivale da trekking	campeggio|escursionismo|passeggiata|scarpa|scarponcino|scarpone|scarponi|stivale da trekking|trekking
🥿	ballerina	ballerine|comfort|scarpa bassa|scarpa senza lacci|scarpe da ballerina
🦀	granchio	cancro|granchio|mare|mollusco|oceano|segno zodiacale
🦁	leone	alpha|animale|criniera|forte|forza|muso di leone|oroscopo|roar|ruggito|segno zodiacale|selvaggio|selvatico
🦂	scorpione	animale|scorpione|segno zodiacale
🦃	tacchino	animale|giorno del ringraziamento|ringraziamento|tacchino|Thanksgiving
🦄	unicorno	faccina|unicorno
🦅	aquila	animale|aquila reale|ornitologia|rapace|uccello
🦆	anatra	animale|ornitologia|papera|uccello
🦇	pipistrello	ali|animale|notte|pipistrello|vampiro
🦈	squalo	aggressività|animale|animali|pericolo|pesce|squalo
🦉	gufo	animale|animali|bosco|foresta|fortuna|gufo|saggezza|selvatico|uccello
🦊	volpe	animale|bosco|faccina volpe|furbetto|furbizia|furbo|muso di volpe|natura|volpacchiotto
🦋	farfalla	ali|animale|colorata|insetto
🦌	cervo	animale|animali|bosco|cerbiatto|cervo|corna|primavera|selvatico
🦍	gorilla	animale|foresta|scimmia|selvatico
🦎	lucertola	animale|animali|lucertola|rettile
🦏	rinoceronte	Africa|animale|animali|natura|rinoceronte|safari|savana|selvatico
🦐	gamberetto	animale|animali|cibo|crostaceo|gamberetto|gambero|mare|oceano
🦑	calamaro	animale|animali|calamaro|cibo|mare|mollusco|oceano|polipo|polpo|totano
🦒	giraffa	animale|animali|giraffa|macchie|puntini|savana|selvaggio|selvatico
🦓	zebra	animale|animali|bianco|bianconero|nero|strisce|zebra
🦔	riccio	animale|animali|riccio|spine|spinoso
🦕	sauropode	animale|animali|brachiosauro|brachiosaurus|brontosauro|brontosaurus|dinosauro|diplodoco|diplodocus|sauropode
🦖	T-Rex	animale|animali|dinosauro|T-Rex|tirannosauro|Tirannosauro Rex|Tyrannosaurus Rex
🦗	grillo	animale|cavalletta|insetto|ortottero
🦘	canguro	animale|animale che salta|Australia|canguro|cucciolo di canguro|marsupiale|saltare
🦙	lama	alpaca|animale|guanaco|lama|lana|lana di alpaca|vicuña|vigogna
🦚	pavone	animale|appariscente|colorato|esibizionista|orgoglioso|pavone|pavoneggiarsi|uccello|vistoso|volatile
🦛	ippopotamo	animale|ippo|ippopotamo
🦜	pappagallo	animale|pappagallo|parlare|pirata|pirati|uccello|uccello parlante
🦝	procione	animale|curiosità|curioso|furbizia|furbo|procione
🦞	aragosta	animale|aragosta|aragosta rossa|astice|chele|crostacei|frutti di mare|zuppa
🦟	zanzara	febbre|insetto|malaria|malattia|morso|puntura d’insetto|virus|zanzara
🦠	microbo	ameba|batteri|batterio|microbo|scienza|virus
🦡	tasso	animale|dare fastidio|infastidire|tasso|tasso del miele
🦢	cigno	animale|brutto anatroccolo|cigno|cigno giovane|uccello|volatile
🦣	mammut	animale|estinzione|grande|lanoso|mammut|zanna
🦤	dodo	animale|dodo|estinzione|grande|Mauritius|uccello
🦥	bradipo	animale|bradipo|calma|lentezza|lento|pigrizia|pigro
🦦	lontra	animale|giocherellone|lontra|lontra marina|pescare
🦧	orangotango	animale|gorilla|orango|orangotango|scimmia|scimmione
🦨	puzzola	animale|puzza|puzzola|puzzolente
🦩	fenicottero	animale|fenicottero|flamingo|rosa|tropicale|uccello
🦪	ostrica	alimento|cibo|mollusco|ostrea|ostrica|perla
🦫	castoro	animale|castoro|denti|diga|roditore
🦬	bisonte	animale|bisonte|mandria
🦭	foca	animale|foca|leone marino|mare|oceano|otaria
🦮	cane guida	accessibilità|animale|cane|cane da accompagnamento|cane guida|cieco|non vedente|non vedenti
🦯	bastone per non vedenti	accessibilità|bastone bianco|bastone per ciechi|bastone per ipovedenti|bastone per non vedenti
🦴	osso	cane|ossa|osso|osso a forchetta|scheletro
🦵	gamba	arto|calcio|gamba|gamba piegata|ginocchio|ginocchio piegato|piede|polpaccio
🦶	piede	calciare|calcio|calpestare|camminare|camminare con passo pesante|caviglia|piede|piedi
🦷	dente	bianchi|bianco|dente|denti|dentista|perlacei|perlaceo
🦸	supereroe	bene|buono|eroe|eroina|persona|personaggio|supereroe|supereroina|superman|superpotere|superpoteri
🦹	supercattivo	cattivo|criminale|malvagio|persona|personaggio|supercattivo|superpotere|superpoteri
🦺	gilet di sicurezza	antinfortunistica|emergenza|gilet antinfortunistica|gilet catarifrangente|gilet di sicurezza
🦻	orecchio con apparecchio acustico	accessibilità|apparecchio acustico|non udente|non udenti|orecchio|orecchio con apparecchio acustico|protesi acustica|sordità|sordo
🦼	sedia a rotelle motorizzata	accessibilità|carrozzina motorizzata|sedia a rotelle motorizzata
🦽	sedia a rotelle manuale	accessibilità|carrozzina manuale|sedia a rotelle manuale
🦾	protesi robotica per il braccio	accessibilità|braccio meccanico|protesi|protesi robotica per il braccio
🦿	protesi robotica per la gamba	accessibilità|gamba meccanica|protesi|protesi robotica per la gamba
🧀	fetta di formaggio	cibo|fetta di formaggio|formaggio|gruviera
🧁	cupcake	cupcake|delizia|dessert|dolce|festa|panetteria|panificio|pasticceria|tortina|zucchero
🧂	sale	condimento|gusto|salato|sale|saliera|sapore|saporito
🧃	bevanda monodose	bevanda|bevanda in brick|bevanda monodose|brick|cannuccia|succo|succo di frutta in cartone
🧄	aglio	aglio|alimento|cibo|condimento|insaporire|insaporitore|spicchio d’aglio
🧅	cipolla	alimento|cibo|cipolla|insaporire|insaporitore|piangere|soffritto
🧆	falafel	ceci|cibo|falafel|felafel|polpetta|polpette di ceci
🧇	waffle	cialda|cibo|colazione|gaufre|waffle
🧈	burro	alimento|burro|cibo|latticini|latticino
🧉	mate	bevanda|erba Mate|mate|mate argentino
🧊	cubetto di ghiaccio	cubetto di ghiaccio|freddo|gelo|ghiaccio|ghiaccio in cubetti|ghiaccio in cubi
🧋	bubble tea	bibita|boba|bolla|bolle|bubble tea|cibo|latte|perla|sfera|Taiwan|tè con le bolle|thè
🧌	troll	fantasia|favola|fiaba|mostro|troll
🧍	persona in piedi	in piedi|persona|persona in piedi|stare fermi|stare in piedi
🧎	persona inginocchiata	in ginocchio|inginocchiarsi|meditare|meditazione|persona|persona inginocchiata
🧏	persona con problemi di udito	accessibilità|difficoltà uditive|non sentire|orecchio|persona|persona con problemi di udito|problemi di udito|sordità|sordo|udito
🧐	faccina con monocolo	antico|classe|faccina|faccina con monocolo|fighetto|monocolo|occhiale|ricco|sospetto
🧑	persona	adulta|adulto|persona
🧑‍🌾	agricoltore	agricoltore|allevatore|contadino|giardiniere
🧑‍🍳	persona che cucina	chef|cuoco|persona che cucina
🧑‍🍼	persona che allatta	allattamento|babysitter|bebè|mamma|neonato|nutrire|papà|persona|persona che allatta
🧑‍🎄	Santa Claus	Babbo Natale|buon Natale|cappello di Babbo Natale|Claus|Natale|persona|Santa Claus|vacanze di Natale
🧑‍🎓	studente	diploma|studente|studentessa
🧑‍🎤	cantante	attore|cantante|intrattenitore|rock|star
🧑‍🎨	artista	artista|tavolozza
🧑‍🏫	insegnante	insegnante|maestra|maestro|professore|professoressa
🧑‍🏭	persona che lavora in fabbrica	assemblaggio|fabbrica|industria|operaio|persona che lavora in fabbrica
🧑‍💻	persona esperta di tecnologia	inventore|persona esperta di tecnologia|programmatore|software|sviluppatore|tecnologo
🧑‍💼	persona che fa un lavoro d’ufficio	architetto|business|impiegato|manager|persona che fa un lavoro d’ufficio
🧑‍🔧	meccanico	elettricista|idraulico|meccanico|tecnico specializzato
🧑‍🔬	persona che lavora in campo scientifico	biologo|chimico|fisico|ingegnere|persona che lavora in campo scientifico|scienziato
🧑‍🚀	astronauta	astronauta|razzo
🧑‍🚒	pompiere	pompiere|vigile del fuoco
🧑‍🤝‍🧑	persone che si tengono per mano	coppia|coppia che si tiene per mano|coppia per mano|insieme|mano nella mano|persona|persone che si tengono per mano|tenersi per mano|uniti
🧑‍🦯	persona con bastone di orientamento	accessibilità|cecità|persona con bastone di orientamento
🧑‍🦼	persona su sedia a rotelle motorizzata	accessibilità|persona su sedia a rotelle motorizzata|sedia a rotelle
🧑‍🦽	persona su sedia a rotelle manuale	accessibilità|persona su sedia a rotelle manuale|sedia a rotelle
🧑‍🧑‍🧒	famiglia: persone adulte, minore	famiglia|minore|persona adulta
🧑‍🧑‍🧒‍🧒	famiglia: persone adulte, minori	famiglia: persona adulta|famiglia: persona adulta, persona adulta, minore, minore|minore|persona adulta
🧑‍🧒	famiglia: persona adulta, minore	famiglia: persona adulta|famiglia: persona adulta, minore|minore
🧑‍🧒‍🧒	famiglia: persona adulta, minore, minore	famiglia: persona adulta|famiglia: persona adulta, minore, minore|minore
🧑‍🩰	persona che danza	ballerina|ballerino|balletto
🧒	bimbo	bambina|bambino|bimba|bimbo|giovane|persona|ragazzina|ragazzino
🧓	persona anziana	adulto anziano|anziana|anziano|persona|vecchia|vecchio
🧔	persona con la barba	baffi|barba|barbuto|persona|persona con barba|persona con la barba
🧕	donna con velo	copricapo|donna|donna con foulard|donna con hijab|donna con velo|hijab|islam|velo
🧖	persona in sauna	bagno turco|benessere|hammam|persona|persona in sauna|persona nella sauna|relax|sauna|spa
🧗	persona che scala	arrampicarsi|arrampicata|arrampicatore|arrampicatrice|montagna|persona|persona che arrampica|persona che scala|roccia|scalatore|sport
🧘	persona in posizione del loto	gambe incrociate|meditazione|pace|persona|persona che fa yoga|persona in posizione del loto|relax|rilassarsi|yoga|zen
🧙	mago	barba|cappello|incantesimo|maghetto|magia|magico|mago|strega|stregone
🧚	fata	ali|creatura|fata|fatina|fiaba|folletto|Oberon|Puck|regina delle fate|Titania
🧛	vampiro	costume|creatura|denti|Dracula|halloween|maschera|morte|morto vivente|paura|sangue|supernaturale|vampiro
🧜	sirena	creatura|donna sirena|fiaba|mare|mitologia|oceano|personaggio|pesce|sirena|sirenetta
🧝	elfo	creatura|elfetto|elfo|fantasy|fiaba|folclore|magia|magico
🧞	genio	aladino|creatura|desideri|djinn|fiaba|genietto|genio|jinn|lampada|personaggio
🧟	zombie	carnevale|halloween|horror|morte|morto vivente|paura|scheletro|spaventoso|urlo|zombie
🧠	cervello	cervello|corpo umano|intelligente|parte del corpo
🧡	cuore arancione	amore|arancione|cuore|cuore arancio|emozione
🧢	cappello con visiera	abbigliamento|baseball|cappellino|cappellino da baseball|cappello|cappello con visiera|cappello da baseball|indumenti|vestiti
🧣	sciarpa	abbigliamento|collo|freddo|inverno|sciarpa|sciarpetta|sciarpina
🧤	guanti	blu|guanti|guanto|mano
🧥	cappotto	abbigliamento|cappotto|freddo|giacca|giaccone|giubbotto|inverno|rosso
🧦	calzini	abbigliamento|calze|calzette|calzini
🧧	busta hongbao	buona fortuna|buono auspicio|busta rossa|busta soldi|denaro|hóngbāo|lai see|regalo|soldi
🧨	petardo	botto|dinamite|esplodere|esplosivo|far esplodere|fuochi artificiali|fuochi d’artificio|petardo|scintilla|scoppiare|scoppio
🧩	pezzo di puzzle	incastrarsi|incastro|indizio|pezzo|pezzo di puzzle|pezzo mancante|puzzle|tassello|tessera del puzzle
🧪	provetta	chimica|chimico|esperimenti|esperimento|laboratorio|provetta|scienza
🧫	piastra di Petri	batteri|batterio|biologa|biologia|biologo|capsula di petri|coltura|cultura|laboratorio|piastra di petri|piastra di Petri
🧬	dna	biologo|dna|evoluzione|gene|genetica|geni|vita
🧭	bussola	bussola|direzione|magnetica|navigazione|orientamento
🧮	abaco	abaco|abbaco|calcolare|calcolatrice|calcolo|fare i calcoli|pallottoliere
🧯	estintore	estinguere|estintore|fiamme|fuoco|incendio|raffreddare|spegnere|spegnere un incendio
🧰	cassetta degli attrezzi	attrezzi|attrezzo|cassetta|cassetta degli attrezzi|cassetta per gli attrezzi|meccanico|strumenti|strumento
🧱	mattoni	argilla|malta|mattone|mattoni|muro|muro di mattoni
🧲	calamita	a forma di u|attrazione|calamita|ferro di cavallo|magnete|magnetica|magnetico|positivo negativo
🧳	valigia	bagagli|bagaglio|partenza|partiamo|preparare il bagaglio|preparazione dei bagagli|si parte|trolley|valigia|viaggiare|viaggio
🧴	flacone	bottiglia di crema|bottiglia di lozione|crema|crema idratante|crema solare|filtro solare|flacone|lozione|lozione solare|shampoo
